x,reaction_progress
0.01106,0.9998324897410082
0.01108,0.9998354167041508
0.0111,0.9998382776951342
0.01112,0.9998410743163909
0.01114,0.9998438081301835
0.01116,0.9998464806596425
0.01118,0.9998490933897743
0.0112,0.9998516477684434
0.01122,0.999854145207328
0.01124,0.9998565870828512
0.01126,0.9998589747370888
0.01128,0.9998613094786499
0.0113,0.9998635925835379
0.01132,0.9998658252959872
0.01134,0.9998680088292778
0.01136,0.9998701443665301
0.01138,0.9998722330614759
0.0114,0.9998742760392128
0.01142,0.9998762743969352
0.01144,0.9998782292046503
0.01146,0.9998801415058712
0.01148,0.9998820123182947
0.0115,0.9998838426344596
0.01152,0.9998856334223893
0.01154,0.9998873856262164
0.01156,0.9998891001667919
0.01158,0.9998907779422784
0.0116,0.9998924198287259
0.01162,0.9998940266806357
0.01164,0.9998955993315077
0.01166,0.9998971385943741
0.01168,0.9998986452623173
0.0117,0.9999001201089782
0.01172,0.999901563889047
0.01174,0.9999029773387447
0.01176,0.999904361176289
0.01178,0.9999057161023512
0.0118,0.9999070428004989
0.01182,0.9999083419376277
0.01184,0.9999096141643826
0.01186,0.999910860115567
0.01188,0.9999120804105434
0.0119,0.9999132756536201
0.01192,0.9999144464344317
0.01194,0.9999155933283077
0.01196,0.9999167168966311
0.01198,0.9999178176871897
0.012,0.9999188962345157
0.01202,0.9999199530602197
0.01204,0.999920988673312
0.01206,0.9999220035705205
0.01208,0.9999229982365956
0.0121,0.9999239731446093
0.01212,0.9999249287562499
0.01214,0.9999258655221014
0.01216,0.9999267838819236
0.01218,0.9999276842649194
0.0122,0.9999285670899991
0.01222,0.9999294327660349
0.01224,0.99993028169211
0.01226,0.9999311142577629
0.01228,0.9999319308432225
0.0123,0.9999327318196387
0.01232,0.9999335175493079
0.01234,0.9999342883858912
0.01236,0.999935044674627
0.01238,0.99993578675254
0.0124,0.9999365149486424
0.01242,0.9999372295841324
0.01244,0.9999379309725851
0.01246,0.9999386194201403
0.01248,0.9999392952256854
0.0125,0.999939958681032
0.01252,0.9999406100710914
0.01254,0.9999412496740409
0.01256,0.99994187776149
0.01258,0.9999424945986404
0.0126,0.9999431004444418
0.01262,0.9999436955517456
0.01264,0.9999442801674511
0.01266,0.9999448545326526
0.01268,0.9999454188827782
0.0127,0.9999459734477298
0.01272,0.999946518452014
0.01274,0.9999470541148754
0.01276,0.999947580650422
0.01278,0.99994809826775
0.0128,0.999948607171065
0.01282,0.9999491075597995
0.01284,0.9999495996287273
0.01286,0.9999500835680765
0.01288,0.9999505595636378
0.0129,0.9999510277968716
0.01292,0.9999514884450116
0.01294,0.9999519416811651
0.01296,0.9999523876744131
0.01298,0.999952826589905
0.013,0.9999532585889541
0.01302,0.9999536838291266
0.01304,0.9999541024643331
0.01306,0.9999545146449139
0.01308,0.999954920517724
0.0131,0.9999553202262172
0.01312,0.9999557139105243
0.01314,0.9999561017075329
0.01316,0.9999564837509647
0.01318,0.9999568601714484
0.0132,0.9999572310965945
0.01322,0.999957596651065
0.01324,0.9999579569566432
0.01326,0.9999583121323024
0.01328,0.9999586622942682
0.0133,0.9999590075560877
0.01332,0.9999593480286889
0.01334,0.9999596838204426
0.01336,0.9999600150372234
0.01338,0.9999603417824653
0.0134,0.9999606641572211
0.01342,0.9999609822602166
0.01344,0.9999612961879045
0.01346,0.9999616060345181
0.01348,0.9999619118921216
0.0135,0.9999622138506606
0.01352,0.9999625119980121
0.01354,0.9999628064200308
0.01356,0.9999630972005974
0.01358,0.9999633844216619
0.0136,0.9999636681632906
0.01362,0.9999639485037076
0.01364,0.9999642255193371
0.01366,0.9999644992848467
0.01368,0.9999647698731849
